,TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostEvntCount
3180,6084.19,8.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,65.9189208984375,2.42155634765625,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,29.0,0.0,0.0
3181,6085.19,9.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,65.9189208984375,2.42155634765625,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,45.0,0.0,0.0
3182,6086.19,10.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,65.9189208984375,2.42155634765625,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,38.0,0.0,0.0
3183,6087.19,11.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,65.9189208984375,2.42155634765625,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,37.0,0.0,0.0
3184,6088.19,0.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,65.9189208984375,2.42155634765625,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,49.0,0.0,0.0
3185,6089.19,1.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,65.9189208984375,2.42155634765625,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,37.0,0.0,0.0
3186,6090.19,2.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,65.9189208984375,2.42155634765625,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,28.0,0.0,0.0
3187,6091.19,3.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,65.9189208984375,2.42155634765625,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,36.0,0.0,0.0
3188,6092.19,4.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.42155634765625,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,31.0,0.0,0.0
3189,6093.19,5.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.85175180189738,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,34.0,0.0,0.0
3190,6094.19,6.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,44.0,0.0,0.0
3191,6095.19,7.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.344159894962374,0.0,0.00082628173828125,0.0,,,,,43.0,0.0,0.0
3192,6096.19,8.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.28274913775083,0.0,0.00082628173828125,0.0,,,,,47.0,0.0,0.0
3193,6097.19,9.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.28274913775083,0.0,0.00082628173828125,0.0,,,,,35.0,0.0,0.0
3194,6098.19,10.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.28274913775083,0.0,0.00082628173828125,0.0,,,,,26.0,0.0,0.0
3195,6099.19,11.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.28274913775083,0.0,0.00082628173828125,0.0,,,,,43.0,0.0,0.0
3196,6100.19,0.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.28274913775083,0.0,0.00082628173828125,0.0,,,,,35.0,0.0,0.0
3197,6101.19,1.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.28274913775083,0.0,0.00082628173828125,0.0,,,,,30.0,0.0,0.0
3198,6102.19,2.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.28274913775083,0.0,0.00082628173828125,0.0,,,,,36.0,0.0,0.0
3199,6103.19,3.0,-273.0,-268.48299316406246,21.156298828124996,-273.0,66.2861572265625,2.420454638671875,42.610440010335665,3.339279931640625,57.28274913775083,0.0,0.00082628173828125,0.0,,,,,33.0,0.0,0.0
