Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,x_val,x_val_lin,x_mcp,x_mcp_lin,v1_shift,v3_shift,y_val,y_val_lin,y_mcp,y_mcp_lin,v4_shift,v2_shift
2024-01-26 05:11:44.986675+00:00,1918.999,True,1.063,1.098,1.137,1.127,0.997,1.062,35.578,40.67,0.003,1.137,0.493,0.604,-5.545,3.119,1.127,1.098
2024-01-26 05:11:45.999225+00:00,1919.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.542,3.12,1.127,1.098
2024-01-26 05:11:46.991025+00:00,1920.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.564,40.656,0.004,1.137,0.493,0.604,-5.545,3.117,1.127,1.098
2024-01-26 05:11:47.999075+00:00,1921.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.574,40.665,0.004,1.137,0.493,0.604,-5.545,3.118,1.128,1.098
2024-01-26 05:11:48.990900+00:00,1922.999,True,1.063,1.098,1.137,1.127,0.997,1.062,35.588,40.679,0.003,1.137,0.493,0.604,-5.545,3.12,1.127,1.098
2024-01-26 05:11:49.999725+00:00,1923.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.662,0.004,1.137,0.493,0.604,-5.54,3.122,1.127,1.098
2024-01-26 05:11:50.985825+00:00,1924.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.559,40.652,0.004,1.137,0.493,0.604,-5.544,3.118,1.128,1.098
2024-01-26 05:11:51.993675+00:00,1925.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.655,0.004,1.137,0.493,0.604,-5.548,3.113,1.128,1.098
2024-01-26 05:11:52.985500+00:00,1926.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.559,40.652,0.004,1.137,0.493,0.604,-5.542,3.119,1.128,1.098
2024-01-26 05:11:53.993350+00:00,1927.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.662,0.004,1.137,0.493,0.604,-5.54,3.122,1.127,1.098
2024-01-26 05:11:54.985175+00:00,1928.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.569,40.66,0.004,1.137,0.493,0.604,-5.546,3.116,1.128,1.098
2024-01-26 05:11:55.993150+00:00,1929.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.542,3.12,1.127,1.098
2024-01-26 05:11:56.984925+00:00,1930.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.574,40.665,0.004,1.137,0.493,0.604,-5.545,3.118,1.127,1.098
2024-01-26 05:11:57.992750+00:00,1931.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.573,40.665,0.004,1.137,0.493,0.604,-5.546,3.117,1.128,1.098
2024-01-26 05:11:58.984575+00:00,1932.999,True,1.063,1.098,1.137,1.128,0.997,1.062,35.578,40.67,0.003,1.137,0.493,0.604,-5.545,3.119,1.128,1.098
2024-01-26 05:11:59.992275+00:00,1933.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.559,40.652,0.004,1.137,0.493,0.604,-5.54,3.121,1.127,1.098
2024-01-26 05:12:00.988950+00:00,1934.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.564,40.657,0.004,1.137,0.493,0.604,-5.541,3.121,1.127,1.098
2024-01-26 05:12:01.996775+00:00,1935.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.559,40.651,0.004,1.137,0.493,0.604,-5.546,3.115,1.128,1.098
2024-01-26 05:12:02.988600+00:00,1936.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.559,40.65,0.004,1.137,0.493,0.604,-5.552,3.109,1.128,1.098
2024-01-26 05:12:03.996425+00:00,1937.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.559,40.652,0.004,1.137,0.493,0.604,-5.542,3.119,1.127,1.098
2024-01-26 05:12:04.988275+00:00,1938.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.66,0.004,1.137,0.493,0.604,-5.55,3.113,1.127,1.098
2024-01-26 05:12:05.996075+00:00,1939.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.573,40.665,0.004,1.137,0.493,0.604,-5.545,3.118,1.128,1.098
2024-01-26 05:12:06.988000+00:00,1940.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.545,3.118,1.127,1.098
2024-01-26 05:12:07.995925+00:00,1941.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.573,40.666,0.004,1.137,0.493,0.604,-5.542,3.121,1.127,1.098
2024-01-26 05:12:08.987650+00:00,1942.999,True,1.063,1.098,1.137,1.127,0.997,1.062,35.578,40.67,0.003,1.137,0.493,0.604,-5.542,3.121,1.127,1.098
2024-01-26 05:12:09.995500+00:00,1943.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.544,3.119,1.127,1.098
2024-01-26 05:12:10.987250+00:00,1944.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.564,40.656,0.004,1.137,0.493,0.604,-5.544,3.118,1.128,1.098
2024-01-26 05:12:11.995125+00:00,1945.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.573,40.665,0.004,1.137,0.493,0.604,-5.545,3.118,1.128,1.098
2024-01-26 05:12:12.982300+00:00,1946.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.573,40.666,0.004,1.137,0.493,0.604,-5.544,3.119,1.128,1.098
2024-01-26 05:12:13.990125+00:00,1947.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.544,3.119,1.127,1.098
2024-01-26 05:12:14.981800+00:00,1948.999,True,1.063,1.098,1.137,1.128,0.997,1.062,35.578,40.67,0.003,1.137,0.493,0.604,-5.547,3.116,1.128,1.098
2024-01-26 05:12:15.989800+00:00,1949.999,True,1.063,1.098,1.137,1.127,0.997,1.062,35.588,40.679,0.003,1.137,0.493,0.604,-5.547,3.117,1.127,1.098
2024-01-26 05:12:16.981600+00:00,1950.999,True,1.063,1.098,1.137,1.127,0.997,1.062,35.583,40.675,0.003,1.137,0.493,0.604,-5.542,3.122,1.127,1.098
2024-01-26 05:12:17.989500+00:00,1951.999,True,1.064,1.098,1.137,1.128,0.997,1.062,35.569,40.66,0.004,1.137,0.493,0.604,-5.546,3.116,1.128,1.098
2024-01-26 05:12:18.981325+00:00,1952.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.569,40.661,0.004,1.137,0.493,0.604,-5.545,3.118,1.127,1.098
2024-01-26 05:12:19.988700+00:00,1953.999,True,1.064,1.098,1.137,1.127,0.997,1.061,35.55,40.643,0.004,1.137,0.493,0.604,-5.541,3.119,1.127,1.098
2024-01-26 05:12:20.980900+00:00,1954.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.574,40.666,0.004,1.137,0.493,0.604,-5.539,3.124,1.127,1.098
2024-01-26 05:12:21.988600+00:00,1955.999,True,1.064,1.098,1.137,1.127,0.997,1.062,35.574,40.666,0.004,1.137,0.493,0.604,-5.542,3.12,1.127,1.098
2024-01-26 05:12:22.985275+00:00,1956.999,True,1.063,1.098,1.137,1.128,0.997,1.062,35.583,40.674,0.003,1.137,0.493,0.604,-5.548,3.116,1.128,1.098
